2024-03-22 11:24:59,Front:14662mm, Back:0mm, Up:713mm, Left:1818mm, Right:5719mm
2024-03-22 11:24:59,Front:14662mm, Back:0mm, Up:713mm, Left:1818mm, Right:5719mm
2024-03-22 11:25:00,Front:14662mm, Back:21379mm, Up:714mm, Left:1818mm, Right:5712mm
2024-03-22 11:25:00,Front:14028mm, Back:21432mm, Up:715mm, Left:1816mm, Right:5712mm
2024-03-22 11:25:01,Front:12928mm, Back:21430mm, Up:718mm, Left:1813mm, Right:5712mm
2024-03-22 11:25:01,Front:9683mm, Back:21430mm, Up:715mm, Left:1801mm, Right:5712mm
2024-03-22 11:25:02,Front:6424mm, Back:21418mm, Up:709mm, Left:0mm, Right:0mm
2024-03-22 11:25:03,Front:3846mm, Back:21414mm, Up:707mm, Left:1669mm, Right:268mm
2024-03-22 11:25:03,Front:3846mm, Back:21414mm, Up:707mm, Left:1669mm, Right:268mm
2024-03-22 11:25:04,Front:3569mm, Back:21413mm, Up:703mm, Left:1660mm, Right:268mm
2024-03-22 11:25:04,Front:3422mm, Back:0mm, Up:0mm, Left:1681mm, Right:450mm
2024-03-22 11:25:05,Front:3318mm, Back:0mm, Up:701mm, Left:16900mm, Right:450mm
2024-03-22 11:25:06,Front:2596mm, Back:24626mm, Up:699mm, Left:14568mm, Right:450mm
2024-03-22 11:25:06,Front:2596mm, Back:24689mm, Up:699mm, Left:12171mm, Right:21713mm
2024-03-22 11:25:07,Front:1568mm, Back:24802mm, Up:707mm, Left:9845mm, Right:21709mm
2024-03-22 11:25:08,Front:1377mm, Back:24802mm, Up:708mm, Left:9842mm, Right:21708mm
2024-03-22 11:25:08,Front:1377mm, Back:24802mm, Up:708mm, Left:9842mm, Right:21708mm
2024-03-22 11:25:09,Front:817mm, Back:24802mm, Up:702mm, Left:9842mm, Right:21708mm
2024-03-22 11:25:09,Front:817mm, Back:24802mm, Up:702mm, Left:9842mm, Right:21708mm
2024-03-22 11:25:10,Front:817mm, Back:24802mm, Up:701mm, Left:9842mm, Right:21708mm
2024-03-22 11:25:11,Front:666mm, Back:24802mm, Up:702mm, Left:9842mm, Right:6870mm
2024-03-22 11:25:11,Front:666mm, Back:24802mm, Up:702mm, Left:9842mm, Right:6870mm
2024-03-22 11:25:12,Front:555mm, Back:24876mm, Up:703mm, Left:9842mm, Right:4084mm
2024-03-22 11:25:12,Front:555mm, Back:24876mm, Up:703mm, Left:9842mm, Right:4084mm
2024-03-22 11:25:14,Front:521mm, Back:19775mm, Up:703mm, Left:9838mm, Right:357mm
2024-03-22 11:25:14,Front:521mm, Back:8417mm, Up:702mm, Left:9838mm, Right:0mm
2024-03-22 11:25:15,Front:521mm, Back:8417mm, Up:702mm, Left:9838mm, Right:0mm
2024-03-22 11:25:15,Front:521mm, Back:1342mm, Up:701mm, Left:9838mm, Right:0mm
2024-03-22 11:25:16,Front:521mm, Back:3469mm, Up:699mm, Left:9838mm, Right:0mm
2024-03-22 11:25:16,Front:521mm, Back:3469mm, Up:697mm, Left:9838mm, Right:0mm
2024-03-22 11:25:16,Front:521mm, Back:3469mm, Up:697mm, Left:9838mm, Right:0mm
