2024-01-11 10:31:27: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-01-11 10:31:30: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-01-11 10:31:34: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-01-11 10:31:38: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-01-11 10:31:41: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-01-11 10:31:45: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-01-11 10:31:48: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-01-11 10:31:52: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-01-11 10:31:55: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-01-11 10:31:59: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-01-11 10:32:03: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-01-11 10:32:06: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-01-11 10:32:10: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-01-11 10:32:13: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-01-11 10:32:17: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-01-11 10:32:20: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-01-11 10:32:25: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-01-11 10:32:28: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-01-11 10:32:31: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-01-11 10:32:35: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-01-11 10:32:38: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-01-11 10:32:41: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-01-11 10:32:45: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
