time,front,back,up,left,right
70.0,2326.0,0.0,702.0,1651.0,286.0
71.0,2326.0,0.0,0.0,21401.0,286.0
72.0,2491.0,0.0,699.0,0.0,287.0
72.0,2782.0,0.0,697.0,12545.0,0.0
73.0,2782.0,0.0,697.0,12545.0,0.0
74.0,2927.0,25105.0,695.0,12529.0,0.0
74.0,3183.0,25105.0,697.0,12524.0,0.0
75.0,3183.0,25105.0,697.0,12524.0,0.0
75.0,0.0,25171.0,702.0,12526.0,640.0
76.0,0.0,25171.0,702.0,12526.0,640.0
77.0,0.0,25180.0,705.0,9904.0,640.0
77.0,0.0,25180.0,705.0,9904.0,640.0
78.0,0.0,25238.0,702.0,9846.0,640.0
78.0,0.0,25238.0,702.0,9846.0,640.0
79.0,0.0,25422.0,699.0,9844.0,640.0
80.0,369.0,25474.0,699.0,9844.0,640.0
80.0,369.0,25474.0,699.0,9844.0,640.0
81.0,369.0,25511.0,698.0,9843.0,600.0
81.0,369.0,25511.0,698.0,9843.0,600.0
82.0,0.0,25532.0,699.0,9843.0,521.0
83.0,0.0,25532.0,699.0,9843.0,832.0
83.0,0.0,25532.0,699.0,9843.0,832.0
84.0,0.0,25537.0,699.0,9843.0,1557.0
84.0,0.0,25537.0,696.0,9843.0,1557.0
85.0,0.0,0.0,697.0,9843.0,2783.0
86.0,0.0,0.0,699.0,9843.0,2783.0
86.0,0.0,1381.0,698.0,9843.0,7967.0
87.0,0.0,1381.0,698.0,9843.0,7967.0
87.0,0.0,1390.0,697.0,9843.0,11666.0
88.0,0.0,1391.0,695.0,9843.0,13256.0
88.0,0.0,1391.0,695.0,9843.0,13256.0
89.0,0.0,1404.0,695.0,9843.0,11719.0
89.0,0.0,1404.0,695.0,9843.0,11719.0
90.0,0.0,2636.0,694.0,9996.0,10904.0
91.0,0.0,3879.0,693.0,9996.0,10225.0
91.0,0.0,8705.0,692.0,10514.0,9740.0
92.0,0.0,8705.0,692.0,10514.0,9740.0
92.0,0.0,9618.0,692.0,15687.0,9044.0
93.0,0.0,9351.0,692.0,15687.0,5052.0
93.0,0.0,9351.0,693.0,3798.0,1208.0
94.0,23577.0,9096.0,673.0,0.0,1297.0
94.0,22961.0,9096.0,673.0,822.0,1284.0
95.0,22961.0,9136.0,674.0,820.0,1333.0
96.0,19079.0,9136.0,703.0,745.0,1187.0
96.0,19079.0,9540.0,703.0,746.0,1185.0
97.0,15820.0,9540.0,703.0,743.0,1185.0
98.0,6034.0,11653.0,707.0,738.0,1180.0
98.0,6034.0,11653.0,709.0,741.0,1163.0
99.0,6034.0,11653.0,709.0,741.0,1163.0
100.0,2338.0,12917.0,713.0,798.0,1158.0
100.0,2599.0,13888.0,714.0,900.0,1158.0
101.0,2599.0,13888.0,714.0,900.0,1158.0
101.0,6083.0,13888.0,724.0,903.0,1158.0
